user_id,timestamp,notification_id,action,user_profile
1,2023-01-15 08:05:00,N001,sent,early_bird
1,2023-01-15 08:10:00,N001,opened,early_bird
1,2023-01-15 08:12:00,N001,clicked,early_bird
2,2023-01-15 22:30:00,N002,sent,night_owl
2,2023-01-15 22:35:00,N002,opened,night_owl
3,2023-01-15 13:00:00,N003,sent,worker
3,2023-01-15 13:05:00,N003,opened,worker
4,2023-01-15 17:45:00,N004,sent,casual
4,2023-01-15 18:00:00,N004,opened,casual
1,2023-01-16 07:55:00,N005,sent,early_bird
1,2023-01-16 08:00:00,N005,opened,early_bird
2,2023-01-16 23:00:00,N006,sent,night_owl
2,2023-01-16 23:05:00,N006,opened,night_owl
2,2023-01-16 23:07:00,N006,clicked,night_owl
3,2023-01-16 12:30:00,N007,sent,worker
4,2023-01-16 16:00:00,N008,sent,casual
4,2023-01-16 19:10:00,N008,opened,casual
# --- Early Bird Pattern (More data) ---
1,2023-01-17 07:30:00,N009,sent,early_bird
1,2023-01-17 07:35:00,N009,opened,early_bird
1,2023-01-17 07:36:00,N009,clicked,early_bird
1,2023-01-18 08:00:00,N010,sent,early_bird
1,2023-01-18 08:05:00,N010,opened,early_bird
1,2023-01-19 07:45:00,N011,sent,early_bird
1,2023-01-19 07:50:00,N011,opened,early_bird
1,2023-01-19 07:51:00,N011,clicked,early_bird
1,2023-01-20 08:15:00,N012,sent,early_bird
1,2023-01-20 08:20:00,N012,opened,early_bird
5,2023-01-21 06:00:00,N013,sent,early_bird
5,2023-01-21 06:05:00,N013,opened,early_bird
5,2023-01-21 06:07:00,N013,clicked,early_bird
5,2023-01-22 06:30:00,N014,sent,early_bird
5,2023-01-22 06:35:00,N014,opened,early_bird
# --- Night Owl Pattern (More data) ---
2,2023-01-17 21:50:00,N015,sent,night_owl
2,2023-01-17 21:55:00,N015,opened,night_owl
2,2023-01-18 22:10:00,N016,sent,night_owl
2,2023-01-18 22:15:00,N016,opened,night_owl
2,2023-01-18 22:17:00,N016,clicked,night_owl
2,2023-01-19 23:30:00,N017,sent,night_owl
2,2023-01-19 23:35:00,N017,opened,night_owl
6,2023-01-20 00:30:00,N018,sent,night_owl
6,2023-01-20 00:35:00,N018,opened,night_owl
6,2023-01-20 00:36:00,N018,clicked,night_owl
6,2023-01-21 01:00:00,N019,sent,night_owl
6,2023-01-21 01:05:00,N019,opened,night_owl
# --- Worker Pattern (More data, lunch time and after work) ---
3,2023-01-17 12:45:00,N020,sent,worker
3,2023-01-17 12:50:00,N020,opened,worker
3,2023-01-17 18:30:00,N021,sent,worker
3,2023-01-17 18:35:00,N021,opened,worker
3,2023-01-17 18:36:00,N021,clicked,worker
7,2023-01-18 13:15:00,N022,sent,worker
7,2023-01-18 13:20:00,N022,opened,worker
7,2023-01-19 19:00:00,N023,sent,worker
7,2023-01-19 19:05:00,N023,opened,worker
7,2023-01-19 19:07:00,N023,clicked,worker
# --- Casual Pattern (More data, varied times) ---
4,2023-01-17 10:00:00,N024,sent,casual
4,2023-01-17 10:15:00,N024,opened,casual
4,2023-01-18 15:30:00,N025,sent,casual
4,2023-01-18 15:35:00,N025,opened,casual
4,2023-01-18 15:36:00,N025,clicked,casual
8,2023-01-19 20:00:00,N026,sent,casual
8,2023-01-19 20:05:00,N026,opened,casual
8,2023-01-20 11:30:00,N027,sent,casual
8,2023-01-20 11:35:00,N027,opened,casual
8,2023-01-20 11:37:00,N027,clicked,casual
# --- Simulate interactions for ~3 months (additional data) ---
# User 1 (Early Bird)
1,2023-02-01 07:00:00,N101,sent,early_bird
1,2023-02-01 07:05:00,N101,opened,early_bird
1,2023-02-01 07:06:00,N101,clicked,early_bird
1,2023-02-05 08:10:00,N102,sent,early_bird
1,2023-02-05 08:15:00,N102,opened,early_bird
